APP6A;MIL2525C;CoT
SFP-------;SFP-------;a-f-p
SFP-S-----;SFP-S-----;a-f-p-s
SFP-V-----;SFP-V-----;a-f-p-v
SFP-T-----;SFP-T-----;a-f-p-t
SFA-------;SFA-------;a-f-a
SFA-M-----;SFA-M-----;a-f-a-m
SFA-MF----;SFA-MF----;a-f-a-m-f
SFA-MFB---;SFA-MFB---;a-f-a-m-f-b
SFA-MFF---;SFA-MFF---;a-f-a-m-f-f
SFA-MFFI--;SFA-MFFI--;a-f-a-m-f-f-i
SFA-MFT---;SFA-MFT---;a-f-a-m-f-t
SFA-MFA---;SFA-MFA---;a-f-a-m-f-a
SFA-MFL---;SFA-MFL---;a-f-a-m-f-l
SFA-MFK---;SFA-MFK---;a-f-a-m-f-k
SFA-MFC---;SFA-MFC---;a-f-a-m-f-c
SFA-MFCL--;SFA-MFCL--;a-f-a-m-f-c-l
SFA-MFCM--;SFA-MFCM--;a-f-a-m-f-c-m
SFA-MFCH--;SFA-MFCH--;a-f-a-m-f-c-h
SFA-MFJ---;SFA-MFJ---;a-f-a-m-f-j
SFA-MFO---;SFA-MFO---;a-f-a-m-f-o
SFA-MFR---;SFA-MFR---;a-f-a-m-f-r
SFA-MFRW--;SFA-MFRW--;a-f-a-m-f-r-w
SFA-MFRZ--;SFA-MFRZ--;a-f-a-m-f-r-z
SFA-MFRX--;SFA-MFRX--;a-f-a-m-f-r-x
SFA-MFP---;SFA-MFP---;a-f-a-m-f-p
SFA-MFPN--;SFA-MFPN--;a-f-a-m-f-p-n
SFA-MFPM--;SFA-MFPM--;a-f-a-m-f-p-m
SFA-MFU---;SFA-MFU---;a-f-a-m-f-u
SFA-MFUL--;SFA-MFUL--;a-f-a-m-f-u-l
SFA-MFUM--;SFA-MFUM--;a-f-a-m-f-u-m
SFA-MFUH--;SFA-MFUH--;a-f-a-m-f-u-h
SFA-MFY---;SFA-MFY---;a-f-a-m-f-y
SFA-MFH---;SFA-MFH---;a-f-a-m-f-h
SFA-MFD---;SFA-MFD---;a-f-a-m-f-d
SFA-MFQ---;SFA-MFQ---;a-f-a-m-f-q
SFA-MFS---;SFA-MFS---;a-f-a-m-f-s
SFA-MFM---;SFA-MFM---;a-f-a-m-f-m
SFA-MH----;SFA-MH----;a-f-a-m-h
SFA-MHA---;SFA-MHA---;a-f-a-m-h-a
SFA-MHS---;SFA-MHS---;a-f-a-m-h-s
SFA-MHU---;SFA-MHU---;a-f-a-m-h-u
SFA-MHUL--;SFA-MHUL--;a-f-a-m-h-u-l
SFA-MHUM--;SFA-MHUM--;a-f-a-m-h-u-m
SFA-MHUH--;SFA-MHUH--;a-f-a-m-h-u-h
SFA-MHI---;SFA-MHI---;a-f-a-m-h-i
SFA-MHH---;SFA-MHH---;a-f-a-m-h-h
SFA-MHR---;SFA-MHR---;a-f-a-m-h-r
SFA-MHQ---;SFA-MHQ---;a-f-a-m-h-q
SFA-MHC---;SFA-MHC---;a-f-a-m-h-c
SFA-MHCL--;SFA-MHCL--;a-f-a-m-h-c-l
