CoT_Type_Technical;MIL2525C;APP6B
a-f-a;SFA-------;SFA-------
a-f-a-c;SFA-C-----;SFA-C-----
a-f-a-c-f;SFA-CF----;SFA-CF----
a-f-a-c-h;SFA-CH----;SFA-CH----
a-f-a-c-l;SFA-CL----;SFA-CL----
a-f-a-m;SFA-M-----;SFA-M-----
a-f-a-m-f;SFA-MF----;SFA-MF----
a-f-a-m-f-a;SFA-MFA---;SFA-MFA---
a-f-a-m-f-b;SFA-MFB---;SFA-MFB---
a-f-a-m-f-c;SFA-MFC---;SFA-MFC---
a-f-a-m-f-c-h;SFA-MFCH--;SFA-MFCH--
a-f-a-m-f-c-l;SFA-MFCL--;SFA-MFCL--
a-f-a-m-f-c-m;SFA-MFCM--;SFA-MFCM--
a-f-a-m-f-d;SFA-MFD---;SFA-MFD---
a-f-a-m-f-f;SFA-MFF---;SFA-MFF---
a-f-a-m-f-f-i;SFA-MFFI--;SFA-MFFI--
a-f-a-m-f-h;SFA-MFH---;SFA-MFH---
a-f-a-m-f-j;SFA-MFJ---;SFA-MFJ---
a-f-a-m-f-k;SFA-MFK---;SFA-MFK---
a-f-a-m-f-k-b;SFA-MFKB--;SFA-MFK---
a-f-a-m-f-k-d;SFA-MFKD--;SFA-MFK---
a-f-a-m-f-l;SFA-MFL---;SFA-MFL---
a-f-a-m-f-m;SFA-MFM---;SFA-MFM---
a-f-a-m-f-o;SFA-MFO---;SFA-MFO---
a-f-a-m-f-p;SFA-MFP---;SFA-MFP---
a-f-a-m-f-p-m;SFA-MFPM--;SFA-MFPM--
a-f-a-m-f-p-n;SFA-MFPN--;SFA-MFPN--
a-f-a-m-f-q;SFA-MFQ---;SFA-MFQ---
a-f-a-m-f-q-a;SFA-MFQA--;SFA-MFQA--
a-f-a-m-f-q-b;SFA-MFQB--;SFA-MFQB--
a-f-a-m-f-q-c;SFA-MFQC--;SFA-MFQC--
a-f-a-m-f-q-d;SFA-MFQD--;SFA-MFQD--
a-f-a-m-f-q-f;SFA-MFQF--;SFA-MFQF--
a-f-a-m-f-q-h;SFA-MFQH--;SFA-MFQH--
a-f-a-m-f-q-i;SFA-MFQI--;SFA-MFQI--
a-f-a-m-f-q-j;SFA-MFQJ--;SFA-MFQJ--
a-f-a-m-f-q-k;SFA-MFQK--;SFA-MFQK--
a-f-a-m-f-q-l;SFA-MFQL--;SFA-MFQL--
a-f-a-m-f-q-m;SFA-MFQM--;SFA-MFQM--
a-f-a-m-f-q-n;SFA-MFQN--;SFA-MFQN--
a-f-a-m-f-q-o;SFA-MFQO--;SFA-MFQO--
a-f-a-m-f-q-p;SFA-MFQP--;SFA-MFQP--
a-f-a-m-f-q-r;SFA-MFQR--;SFA-MFQR--
a-f-a-m-f-q-r-w;SFA-MFQRW-;SFA-MFQRW-
a-f-a-m-f-q-r-x;SFA-MFQRX-;SFA-MFQRX-
a-f-a-m-f-q-r-z;SFA-MFQRZ-;SFA-MFQRZ-
a-f-a-m-f-q-s;SFA-MFQS--;SFA-MFQS--
a-f-a-m-f-q-t;SFA-MFQT--;SFA-MFQT--
a-f-a-m-f-q-u;SFA-MFQU--;SFA-MFQU--
a-f-a-m-f-q-y;SFA-MFQY--;SFA-MFQY--
a-f-a-m-f-r;SFA-MFR---;SFA-MFR---
a-f-a-m-f-r-w;SFA-MFRW--;SFA-MFRW--
a-f-a-m-f-r-x;SFA-MFRX--;SFA-MFRX--
a-f-a-m-f-r-z;SFA-MFRZ--;SFA-MFRZ--
a-f-a-m-f-s;SFA-MFS---;SFA-MFS---
a-f-a-m-f-t;SFA-MFT---;SFA-MFT---
a-f-a-m-f-u;SFA-MFU---;SFA-MFU---
a-f-a-m-f-u-h;SFA-MFUH--;SFA-MFUH--
a-f-a-m-f-u-l;SFA-MFUL--;SFA-MFUL--
a-f-a-m-f-u-m;SFA-MFUM--;SFA-MFUM--
a-f-a-m-f-y;SFA-MFY---;SFA-MFY---
a-f-a-m-h;SFA-MH----;SFA-MH----
a-f-a-m-h-a;SFA-MHA---;SFA-MHA---
a-f-a-m-h-c;SFA-MHC---;SFA-MHC---
a-f-a-m-h-c-h;SFA-MHCH--;SFA-MHCH--
a-f-a-m-h-c-l;SFA-MHCL--;SFA-MHCL--
a-f-a-m-h-c-m;SFA-MHCM--;SFA-MHCM--
a-f-a-m-h-d;SFA-MHD---;SFA-MHD---
a-f-a-m-h-h;SFA-MHH---;SFA-MHH---
a-f-a-m-h-i;SFA-MHI---;SFA-MHI---
a-f-a-m-h-j;SFA-MHJ---;SFA-MHJ---
a-f-a-m-h-k;SFA-MHK---;SFA-MHK---
a-f-a-m-h-m;SFA-MHM---;SFA-MHM---
a-f-a-m-h-o;SFA-MHO---;SFA-MHO---
a-f-a-m-h-q;SFA-MHQ---;SFA-MHQ---
a-f-a-m-h-r;SFA-MHR---;SFA-MHR---
a-f-a-m-h-s;SFA-MHS---;SFA-MHS---
a-f-a-m-h-t;SFA-MHT---;SFA-MHT---
a-f-a-m-h-u;SFA-MHU---;SFA-MHU---
a-f-a-m-h-u-h;SFA-MHUH--;SFA-MHUH--
a-f-a-m-h-u-l;SFA-MHUL--;SFA-MHUL--
a-f-a-m-h-u-m;SFA-MHUM--;SFA-MHUM--
a-f-a-m-l;SFA-ML----;SFA-ML----
a-f-a-w;SFA-W-----;SFA-W-----
a-f-a-w-b;SFA-WB----;SFA-WB----
a-f-a-w-d;SFA-WD----;SFA-WD----
a-f-a-w-m;SFA-WM----;SFA-WM----
a-f-a-w-m-a;SFA-WMA---;SFA-WMA---
